STATE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
CA,63,62,62,58,85,106,94,104,126,80,80,95,56
CA,777,834,811,736,877,983,1027,1094,1076,845,849,711,576
KY,30,42,43,,32,39,43,39,37,52,50,63,62
TX,20,28,24,24,15,16,18,14,17,20,19,15,6
GA,17,16,14,18,24,21,32,36,20,31,25,18,23
WI,4,3,6,6,7,3,2,3,2,4,5,1,3
TX,6,8,3,3,2,3,3,4,8,7,5,5,4
TN,122,161,143,174,141,195,169,176,198,159,181,161,138
AZ,8,11,9,11,10,9,15,9,6,17,17,18,13
TX,3,4,8,5,3,4,4,3,5,4,1,3,4
FL,131,148,128,,132,129,125,128,127,116,110,124,98
TX,7,1,10,5,7,7,8,3,6,7,8,4,5
WI,68,83,92,81,112,155,163,146,157,139,138,130,122
MN,29,44,38,55,46,6,64,60,58,62,96,83,58
AL,26,47,32,33,40,41,40,35,42,39,54,51,52
CA,5,6,7,7,5,8,7,17,12,12,13,12,17
AL,22,21,22,25,33,34,36,32,39,41,35,31,26
CA,,,,,,6,21,15,12,11,16,13,14
IL,0,0,1,0,0,0,1,0,2,0,2,2,0
TN,81,93,99,79,69,67,88,90,87,73,105,89,112
CT,12,17,23,26,34,31,34,30,22,32,21,22,21
LA,152,197,205,228,251,304,345,279,395,424,363,351,267
NY,1384,1582,1672,1896,1905,2245,2154,1995,1946,1561,1177,983,770
NJ,117,113,81,115,107,112,88,87,96,96,102,92,57
VA,14,15,16,14,17,26,18,33,22,22,28,27,17
VA,38,46,50,48,55,63,86,79,62,61,53,61,55
CA,3,9,4,4,4,11,10,7,6,10,16,14,8
CA,95,129,114,112,129,146,149,165,154,140,,93,99
CA,6,9,12,12,10,11,13,16,18,15,23,10,9
TX,11,14,10,9,9,11,17,9,9,9,4,14,5
OK,61,60,48,60,61,68,56,61,80,65,227,67,59
NB,24,30,28,28,23,12,35,11,32,33,27,27,31
CA,8,17,14,9,19,19,26,19,19,25,21,17,13
CA,5,3,4,3,6,5,5,9,3,8,6,1,12
FL,24,14,27,,19,13,10,13,15,17,19,13,14
CA,7,13,4,11,6,6,8,14,16,8,11,16,5
CA,1,1,2,4,2,4,4,11,8,10,7,6,6
CA,29,13,14,22,18,13,15,18,27,16,12,14,12
TX,10,9,10,5,4,4,6,10,10,9,15,9,9
NJ,29,20,17,17,14,13,19,16,23,15,12,7,14
IL,4,4,7,2,23,4,18,13,,11,,11,9
PA,273,343,338,374,475,503,440,425,439,404,432,,418
AZ,89,122,111,106,126,128,128,136,158,231,214,186,175
PA,34,47,37,19,31,35,36,44,80,64,58,47,50
TX,4,5,0,2,6,4,3,1,2,1,4,0,1
CA,24,28,35,28,44,34,25,39,40,39,32,19,34
OR,43,46,66,45,38,33,53,46,58,50,43,51,46
VA,12,21,29,23,12,18,32,36,33,23,34,23,21
RI,14,18,20,21,28,31,17,19,22,20,25,16,12
CO,5,3,7,3,6,6,13,9,9,8,8,12,6
NC,13,16,15,11,15,24,25,19,27,30,18,25,23
CA,5,3,1,5,1,6,6,3,4,5,7,8,4
NV,9,8,12,14,8,11,9,13,16,21,14,11,13
VA,92,82,78,99,98,113,116,117,112,160,120,112,139
CA,14,25,17,13,25,22,39,23,33,37,34,18,23
NY,26,38,29,36,36,40,64,49,64,62,50,51,53
IL,6,12,8,19,7,16,13,12,22,30,19,31,14
CA,39,70,78,68,44,43,66,45,85,62,57,43,41
MO,169,195,153,140,158,177,260,231,267,248,204,166,153
MN,17,12,12,17,15,18,12,33,22,29,25,26,24
OR,7,8,2,4,1,6,2,7,7,10,9,7,1
CA,10,9,7,4,7,11,7,16,15,24,15,9,18
UT,14,20,13,15,18,25,14,14,19,20,27,20,21
TX,180,162,174,143,168,208,208,219,220,194,142,117,95
CA,17,32,35,41,41,41,,75,82,71,67,42,36
CA,96,102,96,144,121,135,167,146,133,113,91,79,67
CA,85,114,103,92,73,101,95,117,129,91,99,82,59
CA,55,39,24,37,38,35,53,43,41,33,38,40,43
CA,33,32,31,38,53,43,59,58,78,74,72,46,27
CA,,,,,,1,2,4,4,0,4,2,2
CA,5,11,2,5,5,1,6,2,7,5,4,2,10
GA,39,29,24,19,20,33,59,23,33,29,27,22,27
AZ,7,8,4,8,3,0,8,4,3,4,6,8,
WA,61,50,54,56,38,53,43,60,67,69,41,37,49
LA,48,45,40,29,51,65,50,47,76,63,61,51,42
CA,3,4,3,2,3,1,6,2,0,1,4,1,5
SD,1,3,1,4,2,4,2,0,2,3,5,1,1
IN,9,17,11,15,3,,4,18,19,19,26,22,17
WA,9,10,16,10,9,8,7,12,13,7,23,15,11
IL,13,9,10,7,2,12,10,11,,18,11,7,12
MA,18,6,8,10,7,13,13,13,19,16,19,12,9
MO,6,5,1,5,7,7,4,8,7,3,5,4,7
CT,5,6,4,6,9,10,10,7,8,6,4,6,1
MI,7,0,4,2,3,2,0,2,0,1,1,1,2
CA,27,35,33,41,42,51,55,53,45,44,42,46,45
FL,25,33,28,,44,31,31,31,19,23,30,26,21
CA,5,4,5,10,2,2,3,2,3,2,3,0,0
NY,12,9,14,16,13,14,13,13,18,16,18,15,15
WA,13,17,24,33,21,25,31,31,31,33,28,20,21
FL,3,8,8,,7,6,9,15,9,9,12,10,5
FL,70,79,61,,57,62,56,49,43,62,47,43,35
AZ,0,7,4,9,4,3,6,8,4,9,7,3,12
CA,1,1,2,3,2,2,1,1,3,1,0,3,1
OH,27,21,33,10,41,37,36,43,45,40,35,30,25
KS,6,12,4,7,11,11,16,8,12,,9,17,8
CA,4,6,3,3,7,2,2,2,12,3,5,3,2
AZ,32,41,23,31,40,30,24,42,44,37,65,46,50
OK,33,40,35,35,32,57,42,33,54,42,30,31,40
CA,6,6,15,13,16,8,13,13,10,30,13,15,3
VA,17,25,11,27,17,16,27,23,22,33,16,20,19
TX,8,16,25,14,29,22,23,21,29,25,16,14,15
MI,9,10,11,7,3,19,2,5,5,3,0,4,
DC,147,194,225,369,434,472,482,443,454,399,361,397,301
CT,5,7,7,11,6,5,9,12,20,8,9,13,8
CA,6,5,3,2,5,8,11,4,5,6,10,6,8
UT,2,1,3,2,1,2,4,6,4,6,2,2,9
KS,26,23,24,15,29,18,24,29,48,42,41,24,32
TX,10,17,13,15,15,11,17,11,9,8,8,9,1
NC,16,17,22,18,31,24,23,33,36,41,23,28,13
MA,6,4,13,11,3,,,13,12,13,5,7,5
NY,21,13,13,9,11,18,9,13,19,14,9,14,16
